Adam Goldberg,2,2 Days in Paris,2
Adam Goldberg,5,A Beautiful Mind,2
Adam Goldberg,8,Stay Alive,2
Adam Goldberg,37,Waking Life,2
Adam Honeyfield,119,Appaloosa,2
Adam James,14,Last Chance Harvey,2
Adam Joyce,25,Soul Survivors,2
Adam Le Fevre,11,Taxi,2
Adam Nelson,29,Appaloosa,2
Adam Paul,13,Spirit: Stallion of the Cimarron,2
Adam Perrell,20,The Hills Have Eyes,2
Adam Pudney,30,The Phantom of the Opera,5
Adam Rodriguez,38,Impostor,2
Adam Roth,48,Cabin Fever,2
Adam Sandler,1,Punch-Drunk Love,2
Adam Sandler,1,The Longest Yard,2
Adam Sandler,7,Mixed Nuts,2
Adam Scott,3,The Return,2
Adam Scott,11,The Aviator,2
Adam Tomei,17,Dreamer: Inspired by a True Story,2
Adam Valdez,46,The Chronicles of Narnia: Prince Caspian,2
Adam Wade,25,Shaft,2
Adam Weisman,26,Halloween,2
Adam West,1,Batman,2
Adan Jodorowsky,7,2 Days in Paris,2
Addison Richards,25,Spellbound,2
Addison Richards,81,The Ten Commandments,2
Ade,12,Filth and Wisdom,2
Adele Sandrock,14,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",2
Adeline de Walt Reynolds,80,The Ten Commandments,2
Aden Young,2,Black Robe,2
Adewale Akinnuoye-Agbaje,6,The Bourne Identity,2
Adi Berber,15,Ben-Hur,2
Adia Beckford,40,August Rush,4
Adjety Osekre,45,The In-Laws,2
Adolf Klein,19,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",2
Adolphe Menjou,3,A Star Is Born,2
Adrian Dunbar,20,Richard III,2
Adrian Finighan,52,V for Vendetta,2
Adrian Hough,7,The Fog,2
Adrian Martinez,13,Taxi,2
Adrian Noble,21,Eight Below,2
Adrian Preater,18,Enigma,2
Adrian Rosley,42,A Star Is Born,2
Adrian Scarborough,14,Elizabeth: The Golden Age,2
Adrian Scarborough,20,Notes on a Scandal,2
Adriana Cordova,18,Employee of the Month,2
Adriana Moca,3,Ils,2
Adriana Mocca,11,Ils,2
Adrianne Richards,7,Dr. Jekyll and Mr. Hyde,3
Adriano Rimoldi,27,King of Kings,2
Adrien Brody,3,King Kong,4
Adrien Saint-Jore,16,Tais-toi!,2
Adrienne Barbeau,8,The Cannonball Run,2
Adrienne Barbeau,16,Halloween,2
Adrienne Howe,25,The Freshman,3
Aeryk Egan,8,The Cure,2
Afram Bill Williams,36,The Fugitive,2
Agnes Bruckner,8,Venom,2
Agustin Almodovar,12,Mujeres al borde de un ataque de nervios,2
Aharon Ipalé,13,The Mummy,3
Ahmad Riaz,3,Ae Fond Kiss...,2
Ahmed Best,13,Star Wars: Episode II - Attack of the Clones,2
Ahmed Best,25,Star Wars: Episode III - Revenge of the Sith,2
Aida Turturro,8,Deep Blue Sea,2
Aidan Mitchell,1,The Riches,2
Aidan Quinn,5,The Mission,2
Aiden Lithgow,22,The Fall,2
Aiman Al-Zawaheri,2,The Power of Nightmares: The Rise of the Politics of Fear,2
Aimee Delamain,14,Santa Claus,2
Aimee Deshayes,14,Problem Child 2,2
Aimee Graham,8,From Dusk Till Dawn,2
Aisha Hinds,22,Assault on Precinct 13,2
Aisha Tyler,9,Balls of Fury,3
Aixa Clemente,25,The Ring,3
Aja Sansone,39,Steel Magnolias,2
Ajay Naidu,4,SubUrbia,2
Ajay Naidu,9,Requiem for a Dream,2
Ajay Naidu,12,The Wrestler,2
Akiko Shima,22,Letters from Iwo Jima,2
Akira Ishida,1,My Life Without Me,2
Akira Kaneda,30,Letters from Iwo Jima,2
Akira Kaneda,44,4: Rise of the Silver Surfer,2
Akira Kurosawa,9,Nora inu,2
Aklilu Gebrewold,22,Waking Life,2
Al Bridge,17,Sullivan's Travels,2
Al Cerullo,23,Boomerang,2
Al Christy,20,In Cold Blood,2
Al Edmundsen,8,Foolish Wives,2
Al Ernest Garcia,16,City Lights,2
Al Ernest Garcia,36,Modern Times,2
Al Fann,8,Frankie and Johnny,2
Al Ferguson,17,Sunset Blvd.,2
Al Gomez,28,Cloak & Dagger,2
Al Hart,40,Tucker: The Man and His Dream,2
Al Hill,24,Strangers on a Train,2
Al Israel,13,Scarface,3
Al J. Vrkljan,24,Assault on Precinct 13,2
Al Kirk,20,Shaft,2
Al Leong,23,Lethal Weapon,2
Al Leong,32,Die Hard,2
Al Lettieri,10,The Godfather,2
Al Liner,23,Bottle Shock,2
Al Martino,11,The Godfather,2
Al Matthews,61,Soul Survivors,2
Al Michaels,20,Jerry Maguire,2
Al Nalbandian,29,Tucker: The Man and His Dream,2
Al Pacino,1,Frankie and Johnny,2
Al Pacino,1,Insomnia,2
Al Pacino,1,Scarface,3
Al Pacino,2,The Devil's Advocate,2
Al Pacino,2,The Godfather,2
Al Pacino,8,Ocean's Thirteen,2
Al Sapienza,76,Frankie and Johnny,2
Al Scott,12,Midnight Cowboy,3
Al Silvani,35,Ben-Hur,2
Al Stetson,27,Midnight Cowboy,3
Al White,25,Black Moon Rising,2
Alain Eloy,9,No Man's Land,2
Alain Foures,41,Tais-toi!,2
Alain Frerot,14,La double vie de Véronique,2
Alain Nizet,30,Shooting Dogs,2
Alaina,37,The Rules of Attraction,2
Alan Alda,4,Resurrecting the Champ,2
Alan Alda,6,Flirting with Disaster,2
Alan Alda,6,The Aviator,2
Alan Arkin,4,Grosse Pointe Blank,2
Alan Bates,9,Britannia Hospital,2
Alan Blumenfeld,10,Problem Child 2,2
Alan Blumenfeld,13,The Ring,3
Alan Cinis,35,Peter Pan,2
Alan Cumming,3,Buddy,2
Alan Cumming,4,Get Carter,2
Alan Cumming,13,Spy Kids 2: Island of Lost Dreams,2
Alan Dale,9,Indiana Jones and the Kingdom of the Crystal Skull,2
Alan Davies,2,"Angus, Thongs and Perfect Snogging",2
Alan Hale,7,The Adventures of Robin Hood,2
Alan Keyes,5,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2
Alan Marshal,7,The Hunchback of Notre Dame,3
Alan Marshall,21,The Hunchback of Notre Dame,3
Alan Mowbray,7,My Man Godfrey,2
Alan Mowbray,8,The Man Who Knew Too Much,2
Alan Mowbray,9,The King and I,2
Alan Mowbray,16,My Darling Clementine,2
Alan Napier,7,Batman,2
Alan North,6,"See No Evil, Hear No Evil",2
Alan North,20,Lean on Me,2
Alan Oke,28,Match Point,2
Alan Pottinger,19,Dead Poets Society,2
Alan Pottinger,20,"See No Evil, Hear No Evil",2
Alan Reed,24,The Desperate Hours,2
Alan Reed Sr.,10,The Desperate Hours,2
Alan Rickman,1,Bottle Shock,2
Alan Rickman,2,Die Hard,2
Alan Rickman,3,Galaxy Quest,2
Alan Rickman,5,Robin Hood: Prince of Thieves,2
Alan Ruck,6,Twister,2
Alan Ruck,17,Cheaper by the Dozen,2
Alan Scarfe,10,The Wrong Guy,2
Alan Shearman,56,4: Rise of the Silver Surfer,2
Alan Tang Kwong-Wing,12,Bulletproof Monk,2
Alan Tudyk,7,3:10 to Yuma,2
Alan Weeks,27,Shaft,2
Alan Young,6,The Time Machine,3
Albert Austin,12,City Lights,2
Albert Brooks,2,The In-Laws,2
Albert Brooks,4,Taxi Driver,2
Albert Brooks,12,Doctor Dolittle,2
Albert Carrier,21,The Man Who Knew Too Much,2
Albert Carrier,25,Scarface,3
Albert Chung,17,Bulletproof Monk,2
Albert Dekker,7,East of Eden,2
Albert Delpy,5,2 Days in Paris,2
Albert Delpy,8,Before Sunset,2
Albert Finney,13,Traffic,2
Albert Godderis,15,I Confess,2
Albert Hall,13,Courage Under Fire,2
Albert Hall,14,National Treasure: Book of Secrets,2
Albert Henderson,18,The Postman Always Rings Twice,2
Albert Kwan,14,The Mummy: Tomb of the Dragon Emperor,2
Albert Paulsen,11,The Manchurian Candidate,3
Albert Popwell,19,The Enforcer,2
Albert Twanmo,36,Body of Lies,2
Alberto Alejandrino,48,The Associate,2
Alberto Alfavo,86,Jerry Maguire,2
Alberto J. Arias,29,Soul Survivors,2
Alberto Morgan,7,Soy Cuba,2
Alberto Vasquez,34,Michael Clayton,2
Albie Whitaker,8,Flight of the Navigator,2
Albie Woodington,16,The 13th Warrior,2
Aldo Bigante,26,The Moguls,2
Aldo Rendine,10,Indagine su un cittadino al di sopra di ogni sospetto,2
Alec B. Francis,1,Oliver Twist,3
Alec Baldwin,3,Fun with Dick and Jane,2
Alec Baldwin,5,The Aviator,2
Alec Craig,23,To Be or Not to Be,2
Alec Craig,25,Mutiny on the Bounty,2
Alec Harford,26,The Adventures of Robin Hood,2
Alec Mann,115,The Phantom of the Opera,5
Alec McCowen,7,Never Say Never Again,2
Alec McCowen,9,Henry V,2
Alec McCowen,12,Gangs of New York,2
Alec Roberts,4,Thir13en Ghosts,3
Alec Von Sommer,46,Big,2
Aleczander Gordon,39,Alexander,2
Aleisa Shirley,9,Spacehunter: Adventures in the Forbidden Zone,2
Aleisha Allen,17,The School of Rock,2
Alejandrino Moya,17,The Mission,2
Alejandro Parodi,2,The Alamo,2
Aleksa Palladino,22,Mona Lisa Smile,2
Aleksandar Mikic,9,Eastern Promises,2
Aleksander Bardini,3,La double vie de Véronique,2
Aleksandra Grdic,9,The Hunting Party,3
Aleksei Chadov,8,Nochnoy dozor,2
Alessandra Ambrosio,60,Casino Royale,2
Alessandro Nivola,4,Face/Off,3
Alessandro Ruggiero,14,Kicking & Screaming,2
Aleta Helena Chappelle,28,Boomerang,2
Aleta Helena Chappelle,52,Tucker: The Man and His Dream,2
Aleta Mitchell,11,No Mercy,2
"Aleth ""Speed"" Hansen",28,My Darling Clementine,2
Alethea McGrath,27,Star Wars: Episode II - Attack of the Clones,2
Alex Avery,19,Last Chance Harvey,2
Alex Bruhanski,46,Cousins,2
Alex Burton,15,X-Men,2
Alex Carter,20,The Island,2
Alex D. Linz,17,The Moguls,2
Alex Daniels,7,The Guardian,2
Alex Draper,9,Joshua,2
Alex Edmo,130,Appaloosa,2
Alex Fisher,7,The Strangers,3
Alex Frazer,22,The Man Who Knew Too Much,2
Alex Gerry,2,The Bellboy,2
Alex Harvey,10,Fire Down Below,2
Alex Hyde-White,13,Indiana Jones and the Last Crusade,2
Alex Jennings,6,The Four Feathers,2
Alex Layton,43,North Country,3
Alex Nahon,8,2 Days in Paris,2
Alex Neuberger,8,Running Scared,3
Alex Nixon,27,Waking Life,2
Alex O'Loughlin,11,August Rush,4
Alex P. Hernandez,21,The Fugitive,2
Alex Palmer,23,28 Days Later...,2
Alex Rocco,26,The Godfather,2
Alex Romaguera,34,Lean on Me,2
Alex Ross Perry,58,Raw Deal,2
Alex Schlegel,21,Soul Survivors,2
Alex Stevens,29,Kiss of Death,2
Alex Welch,41,Prom Night,2
Alex Winter,2,Bill & Ted's Bogus Journey,2
Alex Winter,12,The Lost Boys,2
Alex Zuckerman,21,The Adventures of Huck Finn,2
Alexa Vega,1,Sleepover,2
Alexa Vega,3,Spy Kids 2: Island of Lost Dreams,2
Alexa Vega,23,Twister,2
Alexander Armstrong,27,Match Point,2
Alexander Bourne,45,Peter Pan,2
Alexander Delamere,16,28 Days Later...,2
Alexander Godunov,4,Die Hard,2
Alexander Grant ,15,Underworld: Evolution,2
Alexander Ikuzo,16,Shooting Dogs,2
Alexander Isaiah Thomas,27,The Italian Job,2
Alexander Jones,20,Waking Life,2
Alexander Kozlov,34,Nochnoy dozor,2
Alexander Rafalski,35,Miami Vice,2
Alexander Shchurok,29,Nochnoy dozor,2
Alexander Smith,22,Albino Alligator,2
Alexandra Elich,38,The Missing,2
Alexandra Fox,14,Sleepwalking,2
Alexandra Holden,2,Dead End,2
Alexandra Maria Lara,16,Miracle at St. Anna,2
Alexandra Neil,41,"See No Evil, Hear No Evil",2
Alexandra Paul,9,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2
Alexandra Powers,20,Dead Poets Society,2
Alexandra Wentworth,42,Jerry Maguire,2
Alexandre Samoilenko,18,Nochnoy dozor,2
Alexandru Boghiu,6,Ils,2
Alexei Maklakov,14,Nochnoy dozor,2
Alexei Sayle,12,Indiana Jones and the Last Crusade,2
Alexia Landeau,6,2 Days in Paris,2
Alexina Cowan,55,The Greatest Game Ever Played,2
Alexios A. Panou,33,Eight Below,2
Alexis Arquette,5,Bride of Chucky,2
Alexis Arquette,8,Of Mice and Men,2
Alexis Bobrinskoy,47,The Man Who Knew Too Much,2
Alexis Dziena,22,Wonderland,3
Alf Joint,14,Goldfinger,2
Alfie Bass,9,A Tale of Two Cities,2
Alfie Owen,7,Boy A,3
Alfie Wise,33,The Cannonball Run,2
Alfre Woodard,4,The Forgotten,2
Alfred Abel,1,Metropolis,2
Alfred Abel,4,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",2
Alfred De Contreras,33,Bandits,2
Alfred Hall,26,Heaven Can Wait,2
Alfred Hitchcock,53,The Man Who Knew Too Much,2
Alfred Molina,5,Chocolat,2
Alfred R. Kahn,37,Charlie's Angels: Full Throttle,2
Alfred Soltes,42,The Italian Job,2
Alfred Thomas Catalfo,15,Rollerball,2
Ali Alvi,32,Body of Lies,2
Ali Costinam,27,4: Rise of the Silver Surfer,2
Ali El Khalil,17,Body of Lies,2
Ali Larter,6,House on Haunted Hill,2
Ali Suliman,6,Body of Lies,2
Alice Barden,7,Village of the Damned,2
Alice Bird,23,Notes on a Scandal,2
Alice Brady,3,My Man Godfrey,2
Alice Brady,3,The Gay Divorcee,2
Alice Braga,3,Blindness,2
Alice Cooper,9,Wayne's World,2
Alice Ghostley,24,Grease,2
Alice Greczyn,19,Sleepover,2
Alice Henley,25,Eastern Promises,2
Alice Hirson,9,Blind Date,2
Alice Krige,20,Stay Alive,2
Alice Lok Cahana,16,Last Days,2
Alice Lowe,25,Hot Fuzz,2
Alice Marie Crowe,12,Jerry Maguire,2
Alice Papineau,36,The Last of the Mohicans,2
Alice Roberts,4,Die Büchse der Pandora,2
Alice Spivak,24,"See No Evil, Hear No Evil",2
Alicia Borrachero,13,The Chronicles of Narnia: Prince Caspian,2
Alicia Coppola,12,National Treasure: Book of Secrets,2
Alicia Leigh Willis,28,National Treasure: Book of Secrets,2
Alicia Thorgrimsson,24,4: Rise of the Silver Surfer,2
Alicia Williams,126,Appaloosa,2
Alicia Witt,21,Dune,2
Alimi Ballard,16,Deep Impact,2
Alina Phelan,32,The Chronicles of Narnia: Prince Caspian,2
Aline Levasseur,17,Unforgiven,2
Alison Armitage,96,Jerry Maguire,2
Alison Doody,4,Indiana Jones and the Last Crusade,2
Alison Elliott,18,The Assassination of Jesse James by the Coward Robert Ford,3
Alison Lalieux,6,Innocence,2
Alison Lohman,2,Flicka,2
Alison Moir,11,A Little Princess,2
Alison Pill,4,Dan in Real Life,2
Alison Pill,6,Milk,2
Alison Raimondi,28,Employee of the Month,2
Alison Reid,47,Black Robe,2
Alison Skilbeck,21,The Phantom of the Opera,5
Alissa Kramer,34,Slackers,2
Alisson Lalieux,8,Innocence,2
Alistair Petrie,20,The Bank Job,2
Alister Mazzotti,43,V for Vendetta,2
Alix Koromzay,7,The Haunting,2
Alix Talton,14,The Man Who Knew Too Much,2
Alki David,6,The Bank Job,2
Allan Baird,19,Milk,2
Allan Garcia,5,City Lights,2
Allan Garcia,9,Modern Times,2
Allan Gildea,6,Bloody Sunday,2
Allan Kent,46,Frankie and Johnny,2
Allan Wasserman,35,Big,2
Allelon Ruggiero,7,Dead Poets Society,2
Allen Dizon,1,Private Parts,2
Allen Garfield,14,The Front Page,2
Allen Hamilton,7,Soul Survivors,2
Allen Hamilton,20,The Fugitive,2
Allen Jenkins,16,The Front Page,2
Allen Keng,48,Bulletproof Monk,2
Allen Lidkey,38,Body of Lies,2
Allen Maldonado,21,Live Free or Die Hard,2
Alli Danziger,41,Taxi,2
Allison Bertolino,12,Flipper,2
Allison Caine,18,Jaws,2
Allison Caine,53,Lethal Weapon,2
Allison Field,21,Presumed Innocent,2
Allison Janney,10,Hairspray,2
Allison Janney,43,The Associate,2
Allison Kyler,44,Prom Night,2
Ally Sheedy,1,Short Circuit,2
Allyn Joslyn,8,Heaven Can Wait,2
Alma Beltran,23,Nobody's Fool,2
Alma Felix,24,Midnight Cowboy,3
Alma Taylor,44,The Man Who Knew Too Much,2
Almira Sessions,42,Sullivan's Travels,2
Alon Aboutboul,7,Body of Lies,2
Alona Tal,10,College,2
Alphonse Martell,10,The Gay Divorcee,2
Alphonse Philippe Mouzon,49,Lethal Weapon,2
Alphonso de Noble,7,Communion,2
Alphonso de Noble,7,Night of the Zombies,2
Altagracia Guzman,4,Raising Victor Vargas,2
Alun Armstrong,16,Sleepy Hollow,2
Alvaro Guerrero,23,The Mission,2
Alvin Childress,17,The Day of the Locust,2
Alvin Greenman,15,Miracle on 34th Street,2
Alvin Hammer,17,Miracle on 34th Street,2
Alvin Keith,59,Kinsey,3
"Alvin William ""Dutch"" Lun...",23,The Missing,2
"Alvin William ""Dutch"" Lun...",32,Appaloosa,2
Alyce Coleman,25,Mac and Me,2
Alyson Hannigan,4,American Pie,2
Alyson Reed,7,High School Musical,2
Alyson Reed,8,High School Musical 3: Senior Year,2
Alyson Stoner,7,Cheaper by the Dozen,2
Amanda Anka,19,Taxi,2
Amanda Bynes,4,Hairspray,2
Amanda Cole,16,My Girl,2
Amanda Gruss,57,Mona Lisa Smile,2
Amanda Jane Tilson,43,The Greatest Game Ever Played,2
Amanda Lucas,52,Star Wars: Episode III - Revenge of the Sith,2
Amanda Mackey-Johnson,49,The Fugitive,2
Amanda Peet,3,The Whole Ten Yards,2
Amanda Smith,35,The Freshman,3
Amanda Swisten,12,The Girl Next Door,3
Amaryllis Borrego,34,Jerry Maguire,2
Amber Heard,14,North Country,3
Amber Sainsbury,7,30 Days of Night,2
Amber Smith,6,Dead End,2
Amber Smith,15,The Rules of Attraction,2
Amber Tamblyn,8,The Ring,3
Ameet Chana,7,Run Fatboy Run,2
Amelda Brown,13,V for Vendetta,2
Amer Isanovic,31,The Hunting Party,3
Ames Asbell,6,Waking Life,2
Amie Carey,2,SubUrbia,2
Amir Aviram,45,Miami Vice,2
Amir Talai,39,The Pursuit of Happyness,2
Amit Yogev,13,A Perfect Getaway,3
Amma Agyapon,39,August Rush,4
Amy Adams,1,Enchanted,3
Amy Adams,6,Psycho Beach Party,2
Amy Allen,51,Star Wars: Episode III - Revenge of the Sith,2
Amy Brenneman,1,Your Friends & Neighbors,2
Amy Farrington,19,Soul Survivors,2
Amy Hargreaves,23,Michael Clayton,2
Amy Hathaway,14,Courage Under Fire,2
Amy Irving,3,Carrie,2
Amy Irving,15,Traffic,2
Amy Landecker,24,Dan in Real Life,2
Amy Lawson,60,The Phantom of the Opera,5
Amy Madigan,7,Gone Baby Gone,2
Amy Matysio,18,Sleepwalking,2
Amy Montminy,62,Mona Lisa Smile,2
Amy Peitz,33,The Whole Ten Yards,2
Amy Ryan,6,Gone Baby Gone,2
Amy Ryan,7,Changeling,2
Amy Ryan,10,Dan in Real Life,2
Amy Smart,1,The Best Man,2
Amy Smart,3,Road Trip,3
Amy Smart,3,The Butterfly Effect,2
Amy Stock-Poynton,7,Bill & Ted's Bogus Journey,2
Amy V. Dewhurst,27,August Rush,4
Amy Wilson,47,Kinsey,3
Amy Wright,17,The Deer Hunter,2
Amy Wright,19,The Scarlet Letter,2
Amy Yasbeck,3,Problem Child 2,2
Amy Yasbeck,5,The Mask,3
Amy Young,40,Father of the Bride,2
Ana Bertha Espin,3,The Alamo,2
Ana Cristina de Oliveira,8,Taxi,2
Ana Cristina de Oliveira,24,Miami Vice,2
Ana Gasteyer,12,The Women,3
Ana Ofelia Murguía,4,The Alamo,2
Ana Palomo-Diaz,9,Innocence,2
Anahita Uberoi,5,The Holiday,2
Anais Martinez,21,August Rush,4
Anastasia Hille,9,The Hole,2
Anatoli Solonitsin,1,Solyaris,2
Anatoly Gorin,27,Nochnoy dozor,2
Anders Johnson,12,Tucker: The Man and His Dream,2
Anders T. Andersen,6,The 13th Warrior,2
Anderson Chee,120,Appaloosa,2
Anderson Goncalves,25,The Rules of Attraction,2
Andile Tshoni,2,U-Carmen e-Khayelitsha,2
Andiswa Kedama,4,U-Carmen e-Khayelitsha,2
Andre B. Blake,21,Boomerang,2
Andre Braugher,7,4: Rise of the Silver Surfer,2
Andre Gregory,8,Some Girls,2
Andre Maranne,9,The Razor's Edge,2
Andre Schneider,12,Basic Instinct 2,2
Andre Tardieu,35,Bottle Shock,2
Andrea Corr,2,Quest for Camelot,3
Andrea Davis,55,Fever Pitch,2
Andrea Lowe,17,Missing in Action 2: The Beginning,2
Andrea Malandrinos,10,Secret Agent,2
Andrea Mann,38,Cousins,2
Andrea Marcovicci,4,Spacehunter: Adventures in the Forbidden Zone,2
Andrea Martin,11,The Producers,2
Andrea Martin,16,Loser,2
Andrea Martynowski,17,The Guardian,2
Andrea Sartirettum,35,Mission: Impossible III,2
Andreas Katsulas,7,The Fugitive,2
Andreas Wisniewski,42,Die Hard,2
Andrew Airlie,16,The Freshman,3
Andrew Bayly,16,Darkness Falls,2
Andrew Bennett,10,Angela's Ashes,2
Andrew Bradford,15,Flash Gordon,2
Andrew Bramley,45,The Final Cut,2
Andrew Broder,17,The Cure,2
Andrew Bryniarski,6,The Texas Chainsaw Massacre,2
Andrew Caldwell,3,College,2
Andrew Campbell,22,Insomnia,2
Andrew Carmichael,37,The Beach,4
Andrew Charles Corbett,80,The Phantom of the Opera,5
Andrew Divoff,5,Faust: Love of the Damned,2
Andrew Divoff,8,Mac and Me,2
Andrew Fiscella,31,Prom Night,2
Andrew Friedman,11,Live Free or Die Hard,2
Andrew Garfield,1,Boy A,3
Andrew Glover,5,Boogeyman,2
Andrew J. Ferchland,17,The Fan,2
Andrew J. Lederer,30,This Is Spinal Tap,3
Andrew Kevin Walker,9,Panic Room,2
Andrew Lawden,31,Robin Hood: Prince of Thieves,2
Andrew Marton,16,King Solomon's Mines,3
Andrew McCarthy,1,Weekend at Bernie's,2
Andrew Prine,17,The Texas Chainsaw Massacre,2
Andrew Robinson,4,Cobra,2
Andrew Roussouw,10,The Fall,2
Andrew S. Gilbert,17,Ned Kelly,2
Andrew Sachs,21,Nirgendwo in Afrika,2
Andrew Schanno,9,The Guardian,2
Andrew Secombe,18,Star Wars: Episode II - Attack of the Clones,2
Andrew Sherman,42,Michael Clayton,2
Andrew Simpson,4,Notes on a Scandal,2
Andrew Tiernan,23,Interview with the Vampire: The Vampire Chronicles,4
Andrew Tombes,35,Road to Morocco,2
Andrew Vo,22,"Yours, Mine and Ours",2
Andrew Wilde,7,Nineteen Eighty-Four,2
Andrew Wilson,18,Fever Pitch,2
Andrew Wilson,30,Charlie's Angels: Full Throttle,2
Andries Mbali,9,U-Carmen e-Khayelitsha,2
Andrzej Borkowski,33,Eastern Promises,2
André Benjamin,10,Charlotte's Web,2
André Dussollier,4,Tais-toi!,2
André Engel,19,The Warriors,2
André Morell,2,The Hound of the Baskervilles,3
André Morell,12,Ben-Hur,2
André Oumansky,12,Othello,2
Andy Anderson,9,House of Wax,2
Andy Beckwith,20,Pirates of the Caribbean: At World's End,2
Andy Devine,5,A Star Is Born,2
Andy Dick,4,Employee of the Month,2
Andy Dick,10,Road Trip,3
Andy Dick,13,Loser,2
Andy Friberg,12,Last Days,2
Andy Garcia,3,Ocean's Eleven,2
Andy Garcia,3,Twisted,2
Andy Garcia,4,Ocean's Thirteen,2
Andy Hockley,29,Robin Hood: Prince of Thieves,2
Andy Lau,7,Jui kuen II,2
Andy Rashleigh,15,V for Vendetta,2
Andy Rashleigh,17,Richard III,2
Andy Rashleigh,18,Nirgendwo in Afrika,2
Andy Richter,16,Big Trouble,2
Andy Romano,31,The Fugitive,2
Andy Serkis,6,The Lord of the Rings: The Return of the King,2
Andy Serkis,10,King Kong,4
Andy Stahl,16,4: Rise of the Silver Surfer,2
Andy Tennant,33,Grease,2
Angel David,11,Kiss of Death,2
Angel Salazar,10,Scarface,3
Angela Aames,20,Scarface,3
Angela Bassett,1,How Stella Got Her Groove Back,2
Angela Bassett,8,Contact,2
Angela Bassett,12,Mr. & Mrs. Smith,2
Angela Curran,15,Calendar Girls,3
Angela Featherstone,5,Soul Survivors,2
Angela Goethals,16,Jerry Maguire,2
Angela Greene,22,The Day of the Locust,2
Angela Griffin,18,Last Chance Harvey,2
Angela Lansbury,4,The Manchurian Candidate,3
Angela Lansbury,8,Anastasia,2
Angela Louise Robinson,39,48 Hrs.,2
Angela Seto,57,Bulletproof Monk,2
Angela Sun,11,A Perfect Getaway,3
Angelina C. Torres,44,The Missing,2
Angelina Jolie,1,Changeling,2
Angelina Jolie,2,Alexander,2
Angelina Jolie,2,Gone in Sixty Seconds,2
Angelina Jolie,2,Mr. & Mrs. Smith,2
Angelina Jolie,2,The Bone Collector,2
Angelina Peláez,10,Man on Fire,2
Angelines Santana,18,Flicka,2
Angelo Infanti,20,The Godfather,2
Angelo Massagli,10,The School of Rock,2
Angelo Spizzirri,9,The Rookie,2
Angie Harmon,11,Fun with Dick and Jane,2
Angie Harper,21,Problem Child 2,2
Angus MacInnes,11,Enigma,2
Angus MacInnes,13,Rollerball,2
Angus Macfadyen,2,Impulse,2
Angus Sampson,11,Darkness Falls,2
Angus T. Jones,5,The Rookie,2
Anika McFall,5,Black Christmas,2
